Module,DESKTOP-1TBC5UF,Tims-MacBook-Pro.local,DESKTOP-ME2NEFH
collections,unknown,unknown,unknown
csv,1.0,1.0,1.0
dash,2.0.0,2.0.0,2.0.0
datetime,unknown,unknown,unknown
io,unknown,unknown,unknown
json,2.0.9,2.0.9,2.0.9
math,unknown,unknown,unknown
numpy,1.21.2,1.20.2,1.20.3
os,unknown,unknown,unknown
pandas,1.3.2,1.2.4,1.3.2
pathlib,unknown,unknown,unknown
plotly,5.3.1,5.3.1,5.3.1
python,3.9.6,3.8.8,3.9.6
re,2.2.1,2.2.1,2.2.1
requests,2.26.0,2.25.1,2.26.0
shapefile,2.1.3,2.1.3,2.1.3
shapely,1.7.1,1.7.1,1.7.0
shutil,unknown,unknown,unknown
suntime,unknown,unknown,unknown
sys,unknown,unknown,unknown
zipfile,unknown,unknown,unknown
